Date, Open, High, Low, Close, Adj, Volume
Jul 20 2018,1957.57,1946.10,1960.91,1945.22,1.93M,0.77%
Jul 19 2018,1942.67,1962.96,1971.15,1931.49,1.75M,-0.94%
Jul 18 2018,1961.15,1965.81,1972.38,1954.09,2.01M,-0.09%
Jul 17 2018D,1963.01,1950.12,1969.73,1942.28,3.32M,0.65%
Jul 16 2018,1950.32,1951.10,1956.98,1938.80,2.58M,0.41%
Jul 13 2018,1942.38,1936.39,1958.85,1935.41,4.15M,0.49%
Jul 12 2018,1932.82,1945.22,1951.98,1922.18,6.92M,-0.43%
Jul 11 2018,1941.20,1862.86,1958.95,1857.13,22.90M,5.59%
Jul 10 2018E,1838.45,1860.90,1861.78,1834.18,5.30M,-0.42%
Jul 09 2018,1846.19,1886.39,1886.78,1839.82,6.15M,-1.57%
Jul 06 2018,1875.56,1846.05,1883.45,1844.87,3.71M,1.74%
Jul 05 2018,1843.55,1836.39,1850.61,1825.70,2.47M,0.76%
Jul 04 2018,1829.67,1843.15,1843.15,1820.85,2.70M,-0.42%
Jul 03 2018,1837.42,1823.59,1843.15,1820.75,3.24M,1.23%
Jul 02 2018,1815.16,1815.80,1821.49,1805.11,2.65M,0.19%
Jun 29 2018,1811.63,1808.84,1830.90,1806.29,3.51M,0.27%
Jun 28 2018,1806.68,1828.54,1834.43,1790.60,4.89M,-0.82%
Jun 27 2018,1821.68,1823.64,1848.30,1815.06,4.08M,0.32%
Jun 26 2018,1815.80,1787.37,1824.62,1785.40,4.68M,1.80%
Jun 25 2018,1783.69,1776.48,1786.73,1770.70,2.08M,0.52%
Jun 22 2018,1774.42,1791.29,1791.29,1764.37,2.95M,-0.53%
Jun 21 2018,1783.79,1796.19,1796.19,1782.07,2.91M,-0.17%
Jun 20 2018,1786.83,1796.19,1800.41,1783.05,3.11M,-0.11%
Jun 19 2018,1788.84,1786.53,1803.05,1785.40,3.25M,-0.25%
Jun 18 2018,1793.25,1831.44,1831.44,1786.53,4.67M,-0.60%
Jun 15 2018,1804.08,1764.82,1810.99,1753.64,9.18M,2.94%
Jun 14 2018,1752.61,1794.23,1796.48,1749.13,3.82M,-2.00%
Jun 13 2018,1788.44,1780.50,1795.85,1762.85,5.37M,2.42%
Jun 12 2018,1746.19,1722.66,1750.11,1718.73,4.61M,1.79%
Jun 11 2018,1715.50,1712.95,1728.54,1708.93,2.18M,0.15%
Jun 08 2018,1712.95,1701.09,1722.95,1701.09,2.58M,0.67%
Jun 07 2018,1701.63,1691.28,1714.81,1690.10,2.41M,0.57%
Jun 06 2018,1692.02,1689.32,1700.99,1681.67,2.24M,0.24%
Jun 05 2018,1687.95,1709.91,1717.66,1677.70,2.45M,-1.30%
Jun 04 2018,1710.16,1710.89,1714.81,1679.12,1.68M,0.68%
Jun 01 2018,1698.59,1719.71,1723.15,1682.75,1.60M,-0.49%
May 31 2018SD,1707.02,1700.11,1724.67,1692.36,5.05M,-0.91%
May 30 2018,1722.70,1720.23,1731.97,1707.21,3.78M,-0.27%
May 29 2018,1727.31,1730.45,1737.36,1709.91,3.53M,0.61%
May 28 2018,1716.80,1772.90,1772.90,1708.93,3.72M,-2.34%
May 25 2018,1757.85,1777.07,1801.48,1751.36,3.77M,-0.50%
May 24 2018,1766.63,1720.70,1772.17,1716.94,2.96M,3.11%
May 23 2018,1713.39,1728.05,1737.85,1706.48,1.51M,-0.39%
May 22 2018,1720.16,1744.23,1752.54,1712.70,1.86M,-1.34%
May 21 2018,1743.61,1729.86,1760.89,1724.64,3.45M,1.56%
May 18 2018,1716.80,1706.38,1724.47,1695.20,1.87M,0.29%
May 17 2018,1711.77,1722.14,1732.04,1704.03,2.97M,-0.06%
May 16 2018,1712.80,1705.96,1720.20,1703.66,1.65M,0.33%
May 15 2018,1707.16,1691.28,1713.73,1683.29,1.95M,1.42%
May 14 2018,1683.22,1694.71,1701.58,1672.06,2.43M,-0.68%
May 11 2018,1694.69,1693.34,1708.44,1687.60,2.63M,0.17%
May 10 2018,1691.89,1717.24,1721.26,1686.48,3.86M,-1.09%
May 09 2018,1710.55,1686.48,1713.22,1686.48,2.62M,1.40%
May 08 2018,1686.97,1683.78,1709.17,1665.15,2.99M,0.59%
May 07 2018,1677.04,1710.89,1710.89,1672.11,3.48M,-1.72%
May 04 2018,1706.36,1711.87,1714.32,1701.09,2.35M,-0.03%
May 03 2018,1706.90,1720.60,1728.54,1701.28,3.76M,-0.51%
May 02 2018,1715.67,1730.74,1731.58,1701.72,3.16M,-0.92%
Apr 30 2018,1731.53,1692.24,1739.81,1685.20,3.46M,2.32%
Apr 27 2018,1692.24,1728.05,1737.36,1676.57,4.50M,-2.47%
Apr 26 2018,1735.03,1699.62,1745.21,1699.62,12.14M,1.99%
Apr 25 2018,1701.21,1659.42,1707.46,1649.64,8.20M,2.50%
